appid,name,developer_id,developer_name,rate,rate_num,supplier,size,genre,compatibility,language,age,copyright,price
1514942957,代码大师 - 移动端程序开发工具,1470341377,"Shanghai Dazhuo Information Technology Co., Ltd.",4.5,657,"Shanghai Dazhuo Information Technology Co., Ltd.",78.4 MB,软件开发工具,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,免费,"按月订阅会员
¥30.00


按年订阅会员
¥153.00"
1526105345,万顺代驾司机端,1180877788,深圳万顺叫车云信息技术有限公司,3.7,24,"Shenzhen Wanshun Jiaocheyun Information Technology Co., Ltd.",215.7 MB,旅游,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,,17+，无限制网页访问,"© Shenzhen Wanshun Jiaocheyun Information Technology Co., Ltd. 2016 Acme Inc",免费
1520145510,私密话-成人同城约会交友软件,1520125372,玲娜 孙,4.7,1.3万,玲娜 孙,70.5 MB,社交,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文， 英文,17+，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的色情内容或裸露，偶尔/轻微的亵渎或低俗幽默，频繁/强烈的成人或性暗示题材,免费,"800金币
¥6.00


800金币
¥3.00


30天会员
¥30.00


4800金币
¥30.00


1600金币
¥6.00


月费会员
¥30.00


3200金币
¥12.00


9600金币
¥60.00


200钻石
¥6.00


60元欢乐豆
¥60.00"
1443757511,千结记 - 一句话心情日记,1106886288,Junhang He,4.8,1.1万,Junhang He,67.9 MB,效率,iPhone设备需装有iOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,免费,"高级用户
¥12.00"
1053782684,知到-教师版,702650874,上海卓越睿新数码科技有限公司,3.0,194,SHANGHAI ABLE DIGITAL & TECH Co. LTD.,352.6 MB,教育,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文， 英文,12+，偶尔/轻微的医药或医疗信息,免费,"智慧树教师圈师说VIP会员(年卡)
¥398.00


6知点礼包
¥8.00


30知点礼包
¥38.00


68知点礼包
¥68.00


618知点礼包
¥698.00


268知点礼包
¥298.00


108知点礼包
¥98.00"
1444845353,企鹅运维,1444845352,杭州企鹅科技有限公司,4.0,4,"Hangzhou Penguin Technology Co., Ltd.",24.4 MB,商务,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,,4+,"© Hangzhou Penguin Technology Co., Ltd.",免费
1535298845,北斗导航地图-北斗,1549454215,"Beidou Hanglu Technology Co.,Ltd.",4.9,1.9万,"Beidou Hanglu Technology Co.,Ltd.",212.9 MB,导航,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© 北斗牛导航,免费
844570015,Funimate Video & Motion Editor,844570019,"Avcr, Inc.",4.6,"1,029",AVCR Bilgi Teknolojileri A.S.,371.6 MB,摄影与录像,iPhone设备需装有iOS14.0或更高版本。iPad设备需装有iPadOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 印度尼西亚文， 德文， 意大利文， 日文， 法文， 泰文， 简体中文， 英文， 葡萄牙文， 西班牙文， 阿拉伯文， 韩文， 马来文,12+，偶尔/轻微的烟酒或毒品使用或相关内容，偶尔/轻微的亵渎或低俗幽默，偶尔/轻微的惊悚或恐怖题材,免费,"Unlock everything
¥20.00


Unlock everything
¥22.00


Unlock everything
¥63.00


Buy everything
¥58.00


Unlock everything
¥22.00


Unlock everything
¥28.00


Unlock everything
¥38.00


Unlock everything
¥263.00


Premium Video Pack
¥48.00


Unlock everything
¥438.00"
1520164263,中银跨境GO,392493980,中国银行股份有限公司,3.3,227,Bank of China Limited,176.8 MB,财务,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文， 繁体中文， 英文,4+,Copyright© BANK OF CHINA(BOC) All Rights Reserved.,免费
1438499909,斗鱼手游直播助手,1409548406,"Wuhan Ouyue Online TV Co.,Ltd.",2.8,734,"Wuhan Ouyue Online TV Co.,Ltd.",81.3 MB,娱乐,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文,12+，偶尔/轻微的色情内容或裸露，偶尔/轻微的现实暴力，偶尔/轻微的成人或性暗示题材，偶尔/轻微的烟酒或毒品使用或相关内容，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的惊悚或恐怖题材，偶尔/轻微的模拟赌博，偶尔/轻微的亵渎或低俗幽默,© 2020武汉斗鱼网络科技有限公司,免费
385285922,乐视视频 就视不一样,385285925,乐视网信息技术(北京)股份有限公司,4.4,5.6万,"letv Information Technology(Beijing)Co.,Ltd",140.5 MB,娱乐,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文,17+，偶尔/轻微的色情内容或裸露，偶尔/轻微的卡通或幻想暴力，频繁/强烈的亵渎或低俗幽默，频繁/强烈的成人或性暗示题材,免费,"连续包月会员
¥19.00


1个月乐次元影视会员
¥25.00


首次连续包月会员
¥19.00


3个月乐次元影视会员
¥60.00


12个月乐次元影视会员
¥198.00


乐次元会员98元包年
¥98.00


乐次元会员60元包半年
¥58.00


付费内容
¥3.00


付费内容
¥6.00


1个月乐视超级影视会员
¥38.00"
1454249141,钉三多的日常,1591008463,"DingTalk Technology Co., Ltd.",4.1,366,"DingTalk Technology Co., Ltd.",8.9 MB,贴纸,iPhone设备需装有iOS10.0或更高版本。iPad设备需装有iPadOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。,简体中文， 繁体中文， 英文,4+,© 阿里巴巴集团,免费
1095345669,TamTam Messenger & Video Calls,398465293,Odnoklassniki Ltd,4.2,36,Odnoklassniki Ltd,117.9 MB,社交,iPhone设备需装有iOS12.5或更高版本。iPad设备需装有iPadOS12.5或更高版本。iPod touch设备需装有iOS12.5或更高版本。,乌克兰文， 乌兹别克文， 亚美尼亚文， 俄文， 吉尔吉斯文， 哈萨克文， 土耳其文， 塔吉克文， 德文， 意大利文， 格鲁吉亚文， 波斯文， 罗马尼亚文， 英文， 葡萄牙文， 西班牙文， 阿塞拜疆文， 阿拉伯文,17+，无限制网页访问,© 2023 Odnoklassniki Ltd,免费
1288377719,天文台雷達 - HKO Radar,951395157,Leon Calcutt,4.5,6,Leon Calcutt,33.3 MB,天气,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,免费,"移除廣告
¥22.00"
1632394997,TopStox领藏,1632394999,上海蜜觅电子商务有限公司,4.2,5,"Shanghai Mimi e-commerce Co., Ltd",104.4 MB,体育,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+，偶尔/轻微的竞赛,© 2022 mimi,免费
1490043916,Http Traffic pro - 抓包工具,1352261434,Lan Zhao,3.1,52,Lan Zhao,287.5 MB,软件开发工具,iPhone设备需装有iOS9.0或更高版本。iPad设备需装有iPadOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,© 2020 william.zhao,¥15.00
1459666155,YouDJ Mixer - Easy DJ app,1445352156,YOU.DJ,3.0,2,Wurth Adrien,18.3 MB,音乐,iPhone设备需装有iOS14.0或更高版本。iPad设备需装有iPadOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© 2012-2023 YouDJ,免费
1490369197,HTTP Fish,1445874901,MESS LAB LTD,4.2,26,MESS LAB LTD,8.1 MB,软件开发工具,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© 2020 MESS LAB LTD,免费
6444693991,龙与剑,1071039583,zhipeng miao,4.5,62,zhipeng miao,248.9 MB,体育,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,12+，频繁/强烈的卡通或幻想暴力,© 上海汪汪狗信息技术有限公司,免费
1455295648,海康云眸,1358182004,"Hangzhou Hikvision System Technology Co., Ltd.",2.3,395,"Hangzhou Hikvision System Technology Co., Ltd.",235.6 MB,商务,iPhone设备需装有iOS10.0或更高版本。iPad设备需装有iPadOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,© 杭州海康威视系统技术有限公司,免费
1614048980,泰到位技师端,1593981572,四川跃晟网络科技有限公司,4.3,6,Sichuan Yuesheng Network Technology Co. LTD,36 MB,健康健美,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,© 2021 Sichuan Yuesheng Network Technology Co. LTD,免费
942293983,特来电-找新能源电动汽车充电桩必备APP,1095984120,特来电新能源股份有限公司,4.9,9.6万,"TELD New Energy Co., LTD",217.4 MB,生活,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,© 特来电新能源股份有限公司,免费
1420814118,Leaflet - 提高算法能力,696880612,雷 戴,4.7,"3,113",雷 戴,64.5 MB,软件开发工具,iPhone设备需装有iOS14.1或更高版本。iPad设备需装有iPadOS14.1或更高版本。iPod touch设备需装有iOS14.1或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,免费,"升级为Pro
¥3.00"
1616306408,可萌小组件 - 可爱又治愈的全能小组件、壁纸、手机主题,1497243948,菲 潘,4.5,189,菲 潘,333.9 MB,生活,iPhone设备需装有iOS14.0或更高版本。iPad设备需装有iPadOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 印度尼西亚文， 土耳其文， 德文， 意大利文， 日文， 法文， 泰文， 简体中文， 繁体中文， 英文， 葡萄牙文， 西班牙文， 越南文， 韩文,4+,免费,"COMO Clock VIP
¥28.00"
1052654880,领英职场-全球招聘平台,288429043,LinkedIn Corporation,4.8,16万,LinkedIn Corporation,63.1 MB,商务,iPhone设备需装有iOS13.0或更高版本。iPad设备需装有iPadOS13.0或更高版本。iPod touch设备需装有iOS13.0或更高版本。,简体中文， 英文,4+,© 2015 LinkedIn Corporation,免费
1245055063,驾考家园-3D练车,1243372718,Meiling Feng,3.6,"3,050",Meiling Feng,911.1 MB,教育,iPhone设备需装有iOS9.0或更高版本。iPad设备需装有iPadOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。,英文,4+,免费,"永久解锁小车科二科三全部VIP项目
¥18.00


永久解锁小车科目二全部VIP项目
¥12.00


永久解锁客货车车科二科三全部VIP项目
¥18.00


永久解锁小车科目三全部VIP项目
¥12.00


永久解锁客货车科目三全部VIP项目
¥12.00


永久解锁客货车科目二全部VIP项目
¥12.00"
6448509235,AI无限设计大师-Pad,1684903323,广州市海珠区图灵人工智能科技有限公司,5.0,2,"Turing artificial intelligence technology co., LTD",63.6 MB,工具,iPad设备需装有iPadOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,免费,"室内包周VIP
¥48.00


建筑包年VIP
¥1,688.00


建筑包月VIP
¥168.00


室内包月VIP
¥168.00


室内包年VIP
¥1,688.00"
370139302,QQ浏览器-搜索新闻小说文件,292374531,Tencent Technology (Shenzhen) Company Limited,4.5,79.3万,Tencent Technology (Shenzhen) Company Limited,457.8 MB,工具,iPhone设备需装有iOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。,简体中文,17+，无限制网页访问，频繁/强烈的卡通或幻想暴力，频繁/强烈的色情内容或裸露，频繁/强烈的现实暴力,免费,"10Q米
¥1.00


120Q米
¥12.00


300Q米
¥30.00


60Q米
¥6.00


600Q米
¥60.00


15天腾讯视频VIP
¥6.00


1680Q米
¥168.00


PDF转OFFICE文档1次
¥1.00


7天悦读卡
¥6.00


悦读卡连续包月
¥19.00"
1124280279,湖南IPTV手机版,513836032,CHINA TELECOM Corporation Ltd.,2.9,665,CHINA TELECOM Corporation Ltd.,82.6 MB,娱乐,iPhone设备需装有iOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,© 2022 中国电信股份有限公司,免费
1436470595,河南掌上登记,1436470594,河南省工商行政管理局,1.5,"3,876",Henan Administration for Industry and Commerce,33.5 MB,效率,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,© 2023 Henan Administration for Industry and Commerce,免费
