appid,name,profile
1664867073,文本隐水印 - 把信息隐藏到文本中,"文本隐水印，用来把一段信息嵌入到一段明文中，使信息隐密不可见，并且旁人无法察觉到嵌入后明文的变化。

经测试，在这些场景下信息隐藏比较完美

-MacBook 版本的 Chrome 浏览器，包括知乎网页版、微博网页版等。
-微信、钉钉。Mac/Iphone 版均可
-苹果备忘录
-用 Chrome 打开 github.com 上的代码文件和文本文件（但md文件不行）
-用复制/黏贴 (ctrl+c/v) 的方式在上述平台之间黏贴
-欢迎补充

不太行的
-Safari 浏览器


加密使用方法：
1.输入或复制一段文本到文本信息框内（每25个字节可以输入1个字节的水印信息，如不够25个字节，暂不支持水印功能）
2.输入水印信息，根据相应的长度来输入
3.确认加密后，复制加密文本，就可以啦～（软件显示的加密文本内会有加密的符号，复制发送到微信或备忘录等其他地方会隐藏掉加密的符号）


解密的使用方法：
1.复制加密文本到文本框（粘贴过来后，加密文本里有加密的符号，属于正常的情况）
2.点击确认，会解密出来相应的内容"
6444642689,爱宠管理,"爱宠管理
这是一款专门给爱宠人事设计的App。
宠物管理板块，可以记录宠物的绝育信息，类型，性别，图片等信息，可以管理多个宠物
宠物体重板块，可以记录每一个宠物的体重变化过程
宠物异常板块，提供多种宠物常见的异常目录，有助于细化记录宠物的异常，以便于观察宠物的健康状态
宠物喂食板块，宠物需要悉心照料，吃什么，吃多少，都需要心细的你，步步把关，如果一不留神忘记了，也不用担心，爱宠管理给你提供了宠物喂食管理。
宠物随记板块，可以记录你和爱宠的日常快乐，可以关联到具体的宠物。记录属于你们的的点点滴滴。"
1493800075,Launcher - 极简启动器,"Launcher 是什么

Launcher 是一款全新的启动器App，可以方便快速启动系统App，常用App，网页等，Launcher 还对视频网站进行了适配，可直接在App内播放网页中的视频。

如何使用Launcher

1. 如何添加一条启动项，点击首页右上角的添加按钮，可以从启动应用中添加，也可以自定义
2. 如何添加Widget小组件，进入系统的小组件页，滑动到最下方，点击编辑，将“Launcher - 快捷启动”添加
3. 如何反馈：在更多页，点击邮件反馈或者 iMessage 进行反馈

反馈

QQ群: 1030332194
微信公众号：火花视界"
1671213258,美妆预算,"美妆达人生活中统计和预算化妆产品价格和质保日期的利器

添加每次购买的化妆产品，备注购买地，下次更好的比较价格

添加化妆产品的质保日期，快速查看与维护产品信息"
1643675280,账号宝箱,一款实用的账号保存程序，记录日常使用的各种账号信息，生成随机密码，所有数据都是本地保存，你可以安心使用，不需要担心账号密码泄露
1644057199,存钱小目标-存下点滴，收获成长,"存钱小目标是一款帮助储蓄的工具。存钱是一种习惯，细水长流才能积累足够的资本，实现我们财务自由的愿望
存下点滴，收获成长"
1601789868,轻省钱,"- 是不是觉得有时候钱不知不觉就花没了？
- 天热了想吃雪糕，无聊了想吃零食...太多消费欲没办法控制？？
- 你需要一款可以帮助你规划消费的App。
- 那么轻省钱应运而生！！
- 你可以设置一段时间花一笔钱，会自动计算到每天消费的额度。
- 让你每一笔消费清晰可见。
- 有低，中，高，三挡消费等级可选，让你的消费有踪可循。
- 消费每一笔钱的理由是什么？？那么你可以写在备注上。
- 让轻省钱陪你度过拮据的日子吧~~"
6444063802,生活图记,生活图记一款用图片记录生活中点点滴滴的APP。随着时间的流逝，记忆也随之模糊，图片能让记忆中的画面重新呈现，展示你的精彩一生
1672386429,柠檬小记 - 创建个人的历史上今日,柠檬小记是一款记录查看古往今来的事和物的App，再去创造属于自己的小记，学习参考，打卡，丰富自己，让自己变得更多明理。 
6444559509,便携喇叭,一款帮助你叫喊的APP，可以录取一段音频，也可以编写一段文字，操作起来都很方便。喇叭在一些特定的场合是非常需要的，然而一般的喇叭不方便携带，本APP利用手机的方便携带性，把手机变成一个小喇叭，帮助你日常使用。
1671615928,邮编小能手,"是否还记得当初给对方邮信时那个邮编，一个邮编可以知道这是那个省份和市区的地方

也可以通过地址回忆这是那个地区的邮编，询各个地区的邮编和各个邮编的地区 

内置了全国各省市56个省车牌简称，了解每个省和市的车牌代号 "
1670701325,RYZ Picture Editor,"-Text and pictures can be added to the bottom picture, realizing high customization.
-Provide convenient filter functions to enrich the layers of pictures."
6446023790,健时督导 - 身边的健身好管家,"健时督导：
一款随时随地帮您管理您的健身计划，在这里，您可以：
1、添加您的健身计划，并且可以同步到日历；
2、记录您的健身数据，随时准确地查看；
3、设置您的常用配置，您可以快速地编辑它们；
4、管理您的健身记录；
5、根据天气来匹配您的健身预报，目前支持五个主流城市的切换。


更多功能尽在我们的app当中，欢迎体验。"
1627067977,健康计时器 - 锻炼好帮手,健康计时器是一款给广大锻炼者、运动者用于运动时的计时App，在各种运动场景中设置运动组、运动时间、休息时间、循环次数等参数来完成有高效的运动。
1603194528,读书心得,"- 你的气质里，藏着你读过的书和走过的路
- 书中自有黄金屋，书中自有颜如玉
- 读书好处多多，益处多多
- 比起读书，记录和思考更重要
- 只有记录和思考，才会形成自己的知识体系
- 读书心得，是你读书的好伴侣
- 一款专为读书爱好者设计的App"
1628524044,妙游记,每个人都有想去的地方，呼吸新鲜的空气，看看美丽的风景，体会不一样的风土人情。妙游记，记录旅游过程中的人与景。推荐名胜古迹。
1669271948,大象记账,"简单的一款记录跟与朋友之间的开销平摊应用程序

添加朋友，记录每次与那位好友消费，平摊AA后是多少金额

程序的应用场景可以在学校班级的班费、朋友活动开销、合租房子的房租等等可以AA的场景

不单单记录开销，还可以帮助你，通过朋友之间合作收取的收入，也可以记录下来"
1671507335,WBZ Picture Combination,"- The image combination method and image scale can be combined arbitrarily.
- You can change the color and size of the gap.
- When editing, you can move pictures freely to achieve combination effect.
"
6446064460,ZHW Make decisions,"We always have all kinds of indecisive things, such as where to play on weekends, what to eat at noon, where to travel on holidays, etc. This app can solve your worries and help you form the habit of making decisions easily."
1618755164,快捷录音 - 最简单的录音本,多纪录音本是一款录音记录工具软件，你可以通过录音功能记录自己想说的话以及备注相关的信息
1663317814,天天复习,"天天复习是一款帮助您有计划的复习重要科目要项

打开App快速查看已完成或进行中的科目有计划地进行

快速查找，筛选，添加等功能，祝各位学子早日完成学业"
1669871648,影视知识答题,"是一款影视知识积累测验答题app平时观看过的影片及明星的了解程度进行一个测试，本app自是提供参考测试。入有误请留言开发者进行修改。

使用条款：https://docs.qq.com/doc/DY3R0UXFtbkFJTVpH
隐私条款：https://docs.qq.com/doc/DY3dFZkd0WWNabUtF"
1672342131,WKH-Shult Grid Training,"-The ""Shurte grid training method"" is currently recognized as the most scientific and effective concentration training method.
-In the process of finding the target number, attention needs to be highly concentrated. Through repeated practice, the brain's concentration function will continue to increase.."
1672855667,小黄养车 - 汽车保养记录,小黄养车帮助您记录爱车每次大小保养，添加机油机滤、四轮定位、空气滤芯、汽油滤芯、空调滤芯、变速箱油、刹车油、火花塞等记录，方便您查看距离爱车上次保养的天数，清楚地了解爱车的磨损状况。
1661315467,五笔拆字高手 - 学习五笔助手,这是一款可以学习五笔输入法的助手工具，友好地帮助您把没有理解或忘记怎么输入可以通过本工具去拆解，把部分词语或字保存分类到常用，方便下次的查找。
6446420512,新旧分类器,"新旧分类器是一款非常实用的应用程序，它可以帮助用户轻松地分类、记录和管理新旧物品。

当您购买新物品时，可以使用新旧分类器将其添加到“新物品”列表中。同样地，当您决定将旧物品出售、捐赠或丢弃时，可以将它们添加到“旧物品”列表中。您可以随时查看这些物品的记录，以及它们所属的类别，以保持家庭和物品的整洁有序。"
1666024703,泡泡专案-开销消费预算管家,"可提前预算出门旅游、日常生活、人情份子、每月开销等消费

在记账方面做得精打细算，让自身有计划地进行消费

做好预算专案，了解自身开支情况"
6444275579,ZJF-ZheerJasmineFood,Zheer Jasmine Food brengt dagelijkse voedsel- en restaurantinformatie samen en ondersteunt online tafelreservering. Welkom om te downloaden en te gebruiken.
1637193281,塘与鱼,塘与鱼是集鱼塘管理，鱼塘设备管理，鱼苗管理，供应商管理的统一供应链，更科学和效率的方式，让用户使用一个应用即可完成所有相关的管理工作。
1584296210,房贷计算器-专业按揭购房贷款计算器,"房贷计算器是您购房的好帮手！

它是最专业的买房计算神器！自定义购房利率！

帮你解决购房过程中的各种计算难题！快来体验吧！


订阅说明
1. 订阅价格与周期
您可以在app中订阅“房贷计算器无广告年会员”，订阅价格为¥298，订阅周期为一个自然年(365天)。
您可以在app中订阅“房贷计算器月会员”，订阅价格为¥58，订阅周期为一个自然月(30天)。

2.关于自动续订
App Store官方订阅功能为自动续费订阅，iTunes Account进行确认支付。用户需手动在iTunes/Apple ID设置管理中管理自动续订功能，如果订阅期结束前的24小时内未关闭自动续订功能，订阅周期将会自动延续。

3. 用户协议及隐私政策
用户协议https://www.xkzx.site/ktmfjs.html
隐私政策 https://www.xkzx.site/ktmfjsys.html

4. 取消订阅流程
如果您想取消订阅，请在您的iOS设备上前往“设置”--&gt;选择“iTunes Store与App Store”--&gt;点击“Apple ID”，接下来选择“查看AppleID”，进入“帐户设置” ，点击“订阅”--&gt;“管理”，并选择“房贷计算器”对应的订阅，之后便可取消订阅。"
1672835595,useful robot,"High IQ intelligent chat robot, can accompany you to chat, talk, simply omnipotent ah! Talk to him!

Accurate semantic analysis can correctly identify user intentions

Support a variety of context structure, to meet the needs of continuous and multiple conversations

Based on DeepQA technology, it matches the ability of humans to answer questions

With self-learning ability, the product is getting smarter and smarter"
6445844374,火山计划 - Todo计划清单笔记,"这是一款给突发事情或创作灵感和临时计划需要去记录备注的小伙伴们极洁的计划App

后期我会往添加方便，操作简便，管理简单，界面清新的方向去优化调整

有什么有趣好玩的功能可以及时反馈给我们，我们优先考虑处理"
6445853695,Dog出游 - 个人出行旅游日记,"记录出去游玩旅行中感受的想法，拍摄自然风景事物的美好

约上人海茫茫中与你相遇的人为伴一起出游吧

愿踏遍千山万水，见识美好风光"
6446676263,我的天文观测小助手,天文是一种值得一生拥有的爱好，在天文之路上每个人都能发现无穷的乐趣与惊喜。
6446928608,露营应全,"野外露营是一种户外生活方式，主要出于旅游度假临时在野外搭建的居住营所。
我们的应用作为露营的好帮手，可以帮您解决：
 - 提供露营帐篷的功能和类型介绍；
 - 提供周边主要城市的天气情况以及是否适合露营；
 - 记录您的露营愉悦时刻；
 - 提供指南针及方位显示功能；
 - 警示露营的一些危险意识介绍；
 - 快速地图导示；
欢迎您体验我们的应用，祝您有一个美好的露营户外生活之旅。"
6446271473,时光倒计,"时光倒计是一款便捷易用的计时应用，可以帮助你精确地记录时间。无论是倒计时还是正计时，它都能够满足你的需求。

时光倒计提供了简洁明了的界面，让你轻松创建倒计时和正计时。你可以选择设置一个特定的时间，或者手动输入时间长度。无论是倒计时还是正计时，应用都会提供准确的计时，让你更好地掌控时间。

时光倒计不仅可以用于日常生活中的计时，还可以应用于各种特定场合，例如：考试倒计时、节日倒计时、旅行倒计时等等。你可以随时修改计时器的设置，并在需要的时候重新启动计时器。

时光倒计提供了多种样式和主题，可以让你根据自己的喜好选择不同的样式。同时，它还可以将倒计时或正计时分享到社交媒体上，与朋友分享你的时间记录。

如果你需要一个可靠的计时器来记录时间，时光倒计是一个绝佳的选择。下载时光倒计，让你更好地管理时间！"
6446717132,随手取色,随时随地取色，收藏颜色，可以通过图片取色，拍摄取色，进度条取色，和相机实时取色。
6446815103,口算小达人 - 成为一个数学小达人,这款App是一款专门用来练习数字加减功能的应用。它拥有简单、普通和困难三个难度级别，可以根据用户的水平进行选择。每次练习记录用户的做题情况，对于做错的题目进行标记，帮助用户对自己的错误进行总结和分析。用户可以随时查看自己的做题记录，以便了解自己的进步情况。此外，App界面简洁明了，非常易于操作。使用它可以帮助提高自己的数字加减能力，使您成为真正的口算小达人！
6444096151,零加加,"每个人都应该必备的记录App，随心记录。

零加加App记录生活中每天的精彩时刻，有此记录日后欣赏。app提供多种类型日记。"
6447193403,宠物上门喂养助手,"这是一款工具App,用来记录您的上门喂养宠物记录!
当您接到上门喂养宠物订单时,您可以同步记录需要喂养宠物的信息和主人的信息。您可以实时方便的查看喂养状态,操作简单方便。"
6444692361,存点钱,存钱，那看似很傻，不懂得享受，实则，那不过只是未雨绸缪，其实很有必要。不攒钱，赚再多也只会没有结余。本APP设计各种存钱罐，用于有目的的存钱，让你存钱的动力更强，也可以统计你的收支状况。让你存钱更了然
1623199893,布卡钱包-日常理财记账小助手,这是一款可以用来做存钱计划、理财计划、日常记账等功能的应用App，根据收入去制定存钱计划，并设定定额去加油，还可以计划每日攒，到达自己的目标。
6447505512,飞饼截图,"-提供宫格切图的可能，可以根据选项将图片分成二，四，六，九等份。可以用于用于发表动态，拼接个性画板等场景。
-提供长截图的功能，可以将多张图片按照顺序加入生成新的长图。"
6447351228,全全事项,健忘患者和强迫症患者的福音，帮助你记录某一刻需要做的事，让你不再遗忘或焦虑是不是某些事还没做。记录一些易忘事项，让你的生活更轻松
1638485167,靠谱课代表,"学习专用工具，让学习更有趣。

这是一款学校专用工具，让学生更好的能够进行安排学习，学校课程和考试内容及时安排和知晓。"
6444384259,泰吹跳伞记分,"快叫上你的兄弟开黑吧，一起happy。

一桌好友，在玩游戏的时候制定一个积分规则，记录每局游戏的得分情况，增强游戏性。"
6443931673,指尖便签,"指尖便签，保留您记录的点点滴滴
指尖便签是一款笔记备忘录记录app，通过记录、备忘、展现的方式，让工作与生活更加方便。
支持录入、添加多格式等记录方式；
帮助您随手记事的备忘录小工具。快捷记录待办事项、创意灵感、日程计划等
"
1673528495,工场规划 - 提醒日程待办事项,这是一款作为广大工场的伙伴们简约的规划App，包含了日程和待办事项，用最简约的页面去记录最重要的事项，助您在工场的道路上，越来越顺心！
6447686389,吉高截屏,"-提供网页截图和长文本截图功能
-提供生成网页，文本二维码的功能"
6446197254,时间的计算,- 计算年龄，计算距离时间。将时间细化成年月日时分秒，让时间更具体的呈现出来。
6448275637,芬奇计算,本APP主要是小学算术，加减乘除四则运算，训练孩子的计算能力，可以单独针对加减乘除训练，也可以混合运算以及九九乘法表的训练。主要帮助孩子提高计算能力，开发孩子的脑力
6447907565,摩斯皮皮,这是一款摩尔斯电码转换工具，app界面易于使用，可让您快速输入文本，选择加密方法，并生成加密后的文本。您也可以输入加密后的文本并选择解密方法，然后生成解密后的文本。同时，该应用程序还提供了一些额外的功能，比如复制和粘贴文本，以及分享加密后的文本。
6448005373,小喵账本,小喵账本是一款快速记账类轻应用，它提供了一些内置分类便于您对收入和支持进行分类记录，还提供了预算功能，提醒您有计划的消费，让您对收入支出有一个比较清醒的认知
6447546366,爱挑时刻 - 挑战自我拥抱成功,本app是一款工具助手类App，挑战自我拥抱成功，练习自己的胆量，体验挑战，挑战自我，升华自我
6447167493,我的微笔记,"我的微笔记，让生活更便捷
现代人的工作和生活离不开电子设备，各种电子设备如手机、电脑等已经成为我们日常生活必需品。在这个数字化时代，纸质笔记已经逐渐被淘汰，而我的微笔记则成为了人们记录、存储和分享信息的利器。
什么是我的微笔记？
我的微笔记是一款可以帮助用户记录、整理、分享信息的应用软件。它通过将用户的笔记保存在云端服务器上，从而实现多设备同步和数据备份的功能。无论您使用的是电脑、平板还是手机，在任何地方都可以轻松查看和编辑自己的笔记。
我的微笔记的优势
随时随地进行笔记记录：我的微笔记可以在各种终端设备上使用，只要连接到网络，就能够随时随地记录笔记。
多设备同步&amp;备份：我的微笔记可以同步多个设备之间的笔记内容，保证在任何场合下都能拥有最新版的笔记内容，并且数据会备份在云端服务器上，即使设备失效也不会造成数据丢失。
分类整理笔记：我的微笔记可以通过标签、文件夹等方式，对笔记进行分类管理，让您的笔记更加清晰明了。
多人协作：如果需要多人合作完成某个笔记任务，我的微笔记也提供了多人协作功能，可以让不同用户实时编辑同一个笔记。
数据安全保障：我的微笔记服务商会采用严格的数据安全措施，确保用户数据的安全和隐私。
我的微笔记的应用场景
工作笔记：记录工作中的重要事项、会议纪要、项目进展等信息，方便日后查阅。
学习笔记：记录学习中的重点知识点，整理笔记方便考试复习。
旅行笔记：记录旅途中的感受、见闻，上传照片、视频等资料，方便回忆和分享。
生活笔记：记录生活中的琐事、计划、购物清单等，帮助生活更加有序。
我的微笔记
现代人需要一款高效便捷的笔记软件，我的微笔记是目前最好的选择。随时随地记录和整理笔记内容，多设备同步和数据备份，分类整理笔记，多人协作，数据安全保障等诸多优势，让我们的生活和工作更加方便。"
6447951515,学生录,帮助老师记录自己管理的班级以及学生，让老师管理学生起来更轻松。可以记录学生基本信息，方便老师点名，统计学生考勤情况
6448892260,卡卢疯子,"A Tic Tac Toe game app is a digital platform that allows users to play the classic game of Tic Tac Toe on their mobile devices. The app typically features a simple interface that allows users to quickly and easily start a new game, select a level of difficulty, and play against the computer or other players.

Some common features of a Tic Tac Toe game app include:

Single player and multiplayer modes: The app may offer both single player and multiplayer modes, allowing users to play against the computer or against other users online.

Different levels of difficulty: The app may offer different levels of difficulty, ranging from easy to hard, to challenge users of all skill levels.

Customizable themes: Some Tic Tac Toe game apps may offer customizable themes, allowing users to change the look and feel of the game board and pieces.

Leaderboards: The app may include leaderboards that allow users to compete with others and see who has the highest score.

Statistics and analysis: Some Tic Tac Toe game apps may offer statistics and analysis on a user's gameplay, including win/loss ratios, average time to complete a game, and other metrics.

Overall, a Tic Tac Toe game app is a simple and fun way to enjoy the classic game on the go, and can be a great way to challenge yourself or compete with others."
1665560479,双面拼图,"一款很耐玩的手机拼图游戏，拼图游戏是一款很经典的益智类游戏，它变化多端，给你带来无限的想象与乐趣。

数字的乐趣与奥妙是无穷的，只有当你深入了解之后你才会发现它的魅力。在该游戏中只要简单的滑动指尖移动数字面板，用最少的步数以及最短的时间将棋盘上的数字方面按照数字顺序从左至右从上到下排列齐整。
1. 两面拼图 难度更高，趣味性更好。

2. 你可以在空闲时间自由玩耍，在空闲时间锻炼你的大脑!

3.这里有5种不同的模式和大量的关卡，绝对会让你玩一段时间!

4. 每个模式都可以体验很多不同的内容，精心设计的关卡，适中的难度哦!"
6448664320,喵的工具箱,"这是一款有着垃圾分类查询、汇率计算器、油价查询、热量计算器和百度百科一体的工具箱，无论你是在家或外出，这个工具箱可以为你提供一系列的实用工具，让你的生活更加便捷。


-垃圾分类查询轻松查找全国各地的垃圾分类规定，并学习如何进行垃圾分类
-汇率计算器可以帮助你快速计算货币的汇率，方便出国旅游或者进行跨境交易
-油价查询功能可以让你了解当前市场的油价走势，以便及时做出理财决策
-百度百科功能可以让你随时随地查找任何你想了解的事物的详细信息"
6448216428,天文观测录,"变身方式： 进入软件首页点击右上角“+新记录”，在拍摄名称栏输入“我想看电影”，然后点击右上角“发布”，接着软件会自动跳转到神秘界面。

天文观测录是一款天文爱好者的辅助工具APP，可以帮助用户建立天文观测档案，基于地图显示拍摄天文位置信息，方便后续分享给其他人。"
6448846514,红换蓝,欢迎来到我们的红蓝调色板世界。在这款令人入迷的益智游戏里，你需要透过过滤镜来调整红色和蓝色像素各自的位置，以便使得所有像素变成同一种颜色。这个游戏的关卡越来越难，有些会考验你的姓名，甚至会使你喜欢上像素。酷炫的音乐和美妙的声效会让你感觉非常愉悦。你准备好在这个像素世界里迎接挑战了吗？ 来吧，开始调整吧！
6448260551,智慧门禁-超便捷,智慧门禁，不用钥匙也能开门，心动了吗？
1627182951,橙青,橙青二维码，将为你提供二维码多种生成模式，如名片、条形码、WIFI、语音、视频、文本、网址、短信等二维码。同时还有二维码图片解析服务。
1595054267,花花清理,"截图、视频、联系人快捷整理，整理无负担！

基于AI智能算法识别相似或重复的照片，帮助您快速筛选并删除无用的东西。它也支持清理手机中的视频、截图、连拍等。
"
6446104538,我的宝宝计划,"我的宝宝计划是一款专业的宝贝记录软件，也能以照片的形式将宝宝成长中的开心事情记录下来。

我的宝宝计划app可以帮助您监控您的宝宝的发育。它可以帮助您按照宝宝的睡眠模式：多久，他们睡觉，他们是否保持调度。母乳喂养：多少和多久你的宝宝吃。抽水进度。换尿布。此外，你可以保持您的宝宝的健康的记录：温度，疾病，接种疫苗和看医生。添加对宝宝的情绪和重要事件，如笔记：第一句话，第一次笑，重量，长度和头部大小等记录更改。

主要跟踪特性：

*喂养（乳房，瓶或婴儿食品）

*换尿布

*睡眠，活动和情绪变化

*吸奶器调度

*对医生的访问和预防接种额外票据

*添加更改尺寸和重量

*添加照片和评论事件

*方便的布局和组织日记和笔记

"
1621682678,爱追星 - 明星社区,汇聚多个地区的明星，方便用户查看明星的全面资料，可以关注自己喜欢的明星，爱豆动态，抢先知道。
1672833880,MYL-Interview,"1. Provide knowledge points of job hunting skills.
2. Manage resume documents.
3. Manage the status of multiple interviews and remind them in advance."
6446821745,简繁转换-便捷的简繁转换加中文大写转换,中文简繁转换，中文人民币大写转换
6448296561,拼图-宫格,"-支持多种宫格模型
-支持图片的不同比例
-可以高度自定义拼图效果"
6448886574,五四三保养,"五油四滤三水分别指的是：

1、五油指机油、转向助力油、变速箱油、离合器油和刹车油；

2、四滤指机油滤芯、空气滤芯、空调滤芯和汽油滤芯；

3、三水指玻璃水、冷却水和电池水。


五四三保养是整合了汽车保养中必须品和需要经常换的，掌握了五油四滤三水的保养秘籍，可以达到轻松养车，懂车，爱车。"
6446791342,多彩色卡,色卡是自然界存在的颜色在某种材质上的体现，用于色彩选择、比对、沟通，是色彩实现在一定范围内统一标准的工具。
1604699217,拼拼手机助手,"这是一款能帮助您更了解您设备的应用，包括设备的信息，相册里的重复照片等，
与此同时我们提供了一些便捷的功能例如：处理模糊与相似的照片，合并重复联系人信息等

「个性化功能」
相似照片：智能识别相册里面的相似照片，清理多余的照片，让您的相册不臃肿。
重复照片：一键删除重复的照片，让你的相册更干净。
重复视频：一键删除重复的视频，让你的相册更干净。
快速清理：滑动手势清理，方便快捷，上滑保留、下滑删除、一键撤回。
过期日历：自动归类过期日历事件，快速清理，让手机更加整洁。
过期提醒：自动过滤过期提醒时间，一键删除，手机轻松变干净。
通讯录整理：智能识别重复通讯录，快速合并、清理让你的通讯录变的条条有理。"
6448278646,和马图文,-根据图片情景分类，编辑心情图文，以图达情，以文抒意
6448967130,哈文旅途,"Dit is een zeer geschikt seizoen, je kunt volop genieten van de ontspannende reis, je gelukkige reiservaring delen en ook meer te weten komen over het landschap van verschillende plaatsen, de reisstrategieën van andere mensen bekijken en deelnemen aan online discussies."
6448913586,福伯礼金,福伯礼金是一款更贴近中国人情礼金的app，提供礼金计算，聘请客人分类，每次邀请的客人可选的功能。更有利于管理人情礼金。
1637042566,小磊记录-一键管理密码,"手机必备的好用软件，帮您快速查看周围Wi-Fi热点。

隐私政策:https://www.freeprivacypolicy.com/live/2caf03b5-e7fc-4686-9e52-0ff19525e5c2
服务协议:https://www.freeprivacypolicy.com/live/15f30132-14af-4b1e-92a2-79694b5dc1d6"
1645236455,BMG - Blue Mist Garden,"Blue Mist Garden is the world of flowers and plants. You can record the flowers cultivated by yourself, record his growth, and share their beauty with friends"
