appid,name,developer_id,developer_name,comm_count,recomm_count,screenshots_count,rate,rate_num,version,update_content,supplier,size,genre,compatibility,language,age,copyright,price
571195405,萤石云视频,1133383919,"Hangzhou Ezviz Network Co., Ltd",0,12,0,4.7,12.9万,版本 6.10.3,1.优化预览工具栏排序;2.优化录像下载功能;3.优化设备分享，支持更多权限设置。,"Hangzhou Ezviz Network Co., Ltd",635 MB,生活,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文， 英文,17+，频繁/强烈的竞赛，赌博,"© Hangzhou Ezviz Network Co., Ltd",免费
1572970510,小拉出行-一口价不加价,1572970305,四川神州行网约车服务有限公司,0,7,0,4.7,1万,版本 1.4.38,1、在首页可以直接替别人叫车啦2、基础功能优化，提升使用体验3、不定时发放优惠，不加价打车更便宜,"Sichuan Shenzhouxing Online Car Hailing Service Co.,Ltd.",132 MB,旅游,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,© 四川神州行网约车服务有限公司,免费
1632878609,恋小语-恋爱小帮手&聊天话术,1632848262,亚男 丁,0,6,0,4.7,991,版本 1.9.1,版本更新- 修复部分用户【小恋键盘】无法正常使用的问题。,亚男 丁,80.8 MB,参考资料,iPhone设备需装有iOS13.0或更高版本。iPod touch设备需装有iOS13.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,17+，偶尔/轻微的亵渎或低俗幽默，频繁/强烈的成人或性暗示题材,免费,"季度会员
¥98.00


季度订阅
¥98.00


终身会员
¥298.00


终身会员
¥198.00


两年会员
¥198.00


年度订阅
¥168.00


年度会员
¥198.00


年度订阅
¥198.00


月度会员
¥68.00"
1027334165,辽宁高速通,1289106242,辽宁省高速公路运营管理有限责任公司,0,7,0,3.5,297,版本 5.7.4,ETC卡充值功能优化,"LIAONING PROVINCE EXPRESSWAY OPERATION MANAGEMENT CO.,LTD",241.9 MB,导航,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,丹麦文， 俄文， 印地文， 印度尼西亚文， 希伯来文， 德文， 意大利文， 日文， 法文， 简体中文， 繁体中文， 芬兰文， 英文， 荷兰文， 葡萄牙文， 西班牙文， 阿拉伯文， 韩文,17+，无限制网页访问,© 辽宁高速通智慧出行有限责任公司,免费
1121886234,发现精彩-广发银行,415872963,广发银行股份有限公司,0,12,0,4.5,10.1万,版本 7.8.0,1、优化激活补录功能，提升用户体验,"China Guangfa Bank Co., Ltd",262.1 MB,财务,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文,17+，赌博，无限制网页访问，频繁/强烈的竞赛,"© Guangdong Development Bank Co., Ltd",免费
1405386796,瘦吧减脂 - 新一代科学减脂,1405386795,Youming Zhan,0,6,0,4.4,"2,320",版本 3.12.70,【1】瘦圈文章及话题新增分享至朋友圈功能；【2】修复已知bug。,Youming Zhan,441.4 MB,健康健美,iPhone设备需装有iOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。,简体中文， 繁体中文， 英文， 阿拉伯文,17+，偶尔/轻微的医药或医疗信息，频繁/强烈的竞赛，赌博,© 广州瘦吧网络科技有限公司,免费
1361477682,广州地铁通 - 广州地铁公交出行导航路线查询app,1003837099,球旺 李,0,12,0,4.9,3.3万,版本 1.47,1.更新线路站点数据；2.细节优化调整。,球旺 李,67.8 MB,导航,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。,简体中文， 繁体中文， 英文,4+,© Kaytong Network,免费周卡会员，¥3.00，，，月卡会员，¥6.00，，，年卡会员，¥35.00，，，季卡会员，¥15.00
796352563,SketchUp,322561665,Trimble Inc.,0,12,0,4.3,"4,897",版本 6.3.0,"Here's what's new in v6.3.0 (1990)!NEW STUFF• 6.3 includes support for importing and exporting multi-page PDF documents.  – The new PDF importer offers a streamlined workflow for importing multiple pages of a PDF document at once. Even better is that the importer offers the option to define the scale of any drawings that you might have on a page. After specifying the drawing scale, SketchUp will automatically scale the sheet so that the drawings end up at 1:1 scale in SketchUp. The pages will be automatically imported at SkechUp’s model origin and will be arrayed width-wise along the Red axis.   – The new PDF Exporter offers support for creating multi-page PDFs. After choosing a paper size, orientation, and resolution, you can then manage the pages that you want to export. After adding a page, you have the option to choose from the list of available scenes in your model. Scenes with a camera that is set to an orthographic view can be exported to scale, and for any page, you have options to adjust the line weight multiplier and choose whether to export raster, vector, or hybrid (raster textures and vector linework) graphics. Before saving your PDF, you can remove pages, and/or long-press and drag to rearrange them. • The Model Info panel now includes sections for modifying the default properties for Leader Text, On-screen Text, and Dimension entities, along with the option to quickly update the properties of Text and Dimension entities that already exist in the model.• We’ve added the Soften/Smooth Edges panel to offer a more efficient and flexible means of controlling the softening and smoothing of edges.• We’ve added a new Help Panel that offers quick access to learning materials and other resources from within the modeling window.IMPROVEMENTS• Based on user feedback, we’ve improved the interaction pattern with many of the options and settings that appear across various panels in the app. It’s now the case that you can turn toggle switches on/off by tapping anywhere on the row that contains the switch.BUG FIXES• We fixed an issue that was preventing the option to paste from the iOS clipboard into the Measurements Box.• We’ve cleaned up a handful of text formatting issues, as well as a couple of missing or incorrect translations.For more info about this and other previous releases, or to offer your feedback about v6.3.0, please visit the SketchUp for iPad user forums: https://forums.sketchup.com/c/sketchup-for-ipad/86",Trimble Inc.,216.4 MB,图形和设计,iPhone设备需装有iOS15或更高版本。iPad设备需装有iPadOS15或更高版本。iPod touch设备需装有iOS15或更高版本。,俄文， 德文， 意大利文， 捷克文， 日文， 法文， 波兰文， 瑞典文， 简体中文， 繁体中文， 英文， 荷兰文， 葡萄牙文， 西班牙文， 韩文,4+,免费,"SketchUp Go Yearly
¥768.00


SketchUp Go Monthly
¥98.00"
1361477686,深圳地铁通 - 深圳地铁公交出行导航路线查询app,1003837099,球旺 李,0,12,0,4.8,2.8万,版本 1.47,1.更新线路站点数据；2.细节优化调整。,球旺 李,67.8 MB,导航,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。,简体中文， 繁体中文， 英文,4+,© Kaytong Network,免费周卡会员，¥3.00，，，月卡会员，¥6.00，，，年卡会员，¥35.00，，，季卡会员，¥15.00
1026768962,酷家乐设计师,1244986466,MeiJianHangZhou,0,7,0,4.9,7万,版本 5.55.0,本期更新1.【优秀设计】新增热门搜索、新增价格排序筛选2.【使用体验优化】根据用户反馈解决的小问题上期更新1.【KooAI家装】增加新手引导，出美图更简单2.【营销获客】同步住小帮支持多层方案3.【设计优化】使用体验更好，好看更好用,"Hangzhou Meijian Technology Co., Ltd.",333 MB,效率,iPhone设备需装有iOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,,4+,免费,"会员月卡
¥88.00


会员半年卡
¥328.00


会员特惠年卡
¥498.00


会员年卡
¥598.00"
447733826,光大银行手机银行,447733829,中国光大银行,0,10,0,3.3,1.1万,版本 10.0.7,1.全新推出“随心宝”现金管理类理财服务，每日最高支持10万快赎额度，助力您的财富管理。2.信用卡快速还款页面全新改版升级，新增他行卡还款系列提醒服务，带来全新的还款体验。3.优化交易明细筛选功能，支持按交易金额、交易对手进行筛选。,CHINA EVERBRIGHT BANK COMPANY LIMITED,341.5 MB,财务,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,17+，赌博，频繁/强烈的竞赛,© 中国光大银行,免费
590217303,千牛-淘宝天猫卖家版（手机极速开店）,1597411546,浙江淘宝网络有限公司,0,12,0,3.2,4.3万,版本 9.8.125,1、订单管理：1）订单列表页面和详情页面新增商品编码及发货倒计时；2）订单详情页面点击商品后可查看商品详情；3）订单筛选新增“卖家是否有备注”功能；2、通过“内容创作”进行视频制作之后，可进行视频内容的预览列表；,"Zhejiang Taobao Network Co.,Ltd",254 MB,商务,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文， 英文,4+,©Tmall.com,免费
855031900,十六番旅行-懒人地图旅行地图,855031903,16fan.com Inc.,0,6,0,4.9,3.2万,版本 8.7.8,- 优化了我的地图的部分细节建议和问题反馈微信：lanrenditu（懒人地图的拼音）,16fan.com Inc.,111.3 MB,工具,iPhone设备需装有iOS8.0或更高版本。iPad设备需装有iPadOS8.0或更高版本。iPod touch设备需装有iOS8.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,12+，偶尔/轻微的亵渎或低俗幽默，偶尔/轻微的成人或性暗示题材，偶尔/轻微的色情内容或裸露，偶尔/轻微的烟酒或毒品使用或相关内容,© 2023 16fan inc,免费
1444380764,苏e行-苏州地铁官方APP,1444380763,苏州市轨道交通集团有限公司,0,6,0,2.9,"3,033",版本 3.24.0,部分功能优化，体验升级~,"Suzhou rail transit Group Co.,Ltd.",272.6 MB,生活,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文,4+,"© 2018 Suzhou rail transit Group Co.,Ltd.",免费
1353326686,Python编程狮-零基础学Python,1476811365,Xiamen Yidong Network Technology Company Limited,0,12,0,4.6,"3,928",版本 1.6.26,1、细节优化，体验更流畅2、日常bug修复有任何疑问请点击「我」 -> 「意见反馈」提交你的反馈与问题~,Xiamen Yidong Network Technology Company Limited,47.8 MB,软件开发工具,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 印度尼西亚文， 土耳其文， 德文， 意大利文， 日文， 法文， 泰文， 简体中文， 繁体中文， 英文， 葡萄牙文， 西班牙文， 越南文， 阿拉伯文， 韩文， 马来文,4+,免费,"30学币
¥30.00


6学币
¥6.00


68学币
¥68.00


Python编程狮年费高级VIP
¥388.00


终身会员-588活动价
¥588.00


108学币
¥108.00


268学币
¥268.00


2年VIP
¥548.00


终身VIP-特惠价
¥488.00


698学币
¥698.00"
881803365,乐橙-智享橙意生活,1187534613,"Huacheng Network Technology Co.,Ltd.",0,10,0,4.4,1万,版本 7.6.2,1、修复若干已知问题,"Huacheng Network Technology Co.,Ltd.",611.9 MB,工具,iPhone设备需装有iOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。,简体中文,17+，频繁/强烈的竞赛，赌博,© 杭州华橙网络科技有限公司,免费
1615208550,文案馆 - 短视频自媒体热门文案,1446242443,xiaobo duan,0,8,0,4.8,"5,287",版本 45.1,1，修改已知BUG2，优化用户体验,xiaobo duan,63.7 MB,参考资料,iPhone设备需装有iOS13.0或更高版本。iPad设备需装有iPadOS13.0或更高版本。iPod touch设备需装有iOS13.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,免费,"¥30.00



¥58.00"
1312014438,JSBox - 学习写代码,928924733,YING ZHONG,0,9,0,3.9,54,版本 2.31.0,让 JSContext 可以通过 Mac Safari 的远程检查器进行检查，能够使用断点和单步来调试脚本。了解更多：https://docs.xteko.com/#/debug/inspector,YING ZHONG,186.5 MB,软件开发工具,iPhone设备需装有iOS14.0或更高版本。iPad设备需装有iPadOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。,简体中文， 英文,4+,免费,"JSBox 高级版
¥58.00


JSBox 高级版 - 优惠价
¥58.00"
987381870,育学园 - 孕期育儿工具早教养育方案,987381869,Beijing Yuxueyuan Health Management Center Co. Ltd,0,6,0,3.5,"1,955",版本 7.28.6,-优化体验细节，修复已知问题-每天一秒钟去除导出功能,Beijing Yuxueyuan Health Management Center Co. Ltd,331.8 MB,医疗,iPhone设备需装有iOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文， 阿拉伯文,17+，偶尔/轻微的色情内容或裸露，频繁/强烈的医药或医疗信息,© 北京育学园健康管理中心有限公司,免费
1620295792,久事体育,1345262618,"Juss Intellisports Co.,Ltd.",0,6,0,3.7,35,版本 1.2.7,一些已知内容优化与修复,"Shanghai Juss Intellisports Co., Ltd.",323.3 MB,体育,iPhone设备需装有iOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© 上海久事体育产业发展（集团）有限公司,免费
1012949110,WiFi上网神器-一键连接-上网钥匙,1561766001,"Nanjing LianWiFi Network Technology Co., Ltd.",0,7,0,4.1,1.4万,版本 2.8.6,优化了用户体验，提升了热点连接速度,"Nanjing LianWiFi Network Technology Co., Ltd.",58.5 MB,工具,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。,简体中文， 繁体中文， 英文,4+,"© Nanjing LianWiFi Network Technology Co., Ltd.",免费
1319788668,网易UU手游加速器-顶尖加速技术,1547202758,Hangzhou Bobo Technology Co Ltd,0,9,0,4.1,9.2万,版本 8.3.3,1. 问题修复和加速稳定性优化,Hangzhou Bobo Technology Co Ltd,83.6 MB,工具,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。,简体中文， 繁体中文， 英文,4+,免费,"UU手游加速器月卡
¥12.00


手游会员连续包月
¥12.00


UU手游加速器季卡
¥30.00


UU加速器特价25元
¥25.00


UU手游加速器月卡
¥18.00


UU加速器高级会员月卡30元
¥30.00


UU手游加速器年卡
¥108.00


UU手游加速器半年卡
¥60.00


UU加速器特价73元
¥73.00


UU加速器特价68元
¥68.00"
320479357,航班管家-订特价机票酒店火车票专车,320479360,"Shenzhen Huo Li Tian Hui Technology Co., Ltd.",0,12,0,4.9,5.2万,版本 8.5.4.2,机票价格低，航班动态准！【预订】优化机票预订页面，提升预订体验【查询】低价展示优化【售后】提升售后服务体验,"Shenzhen Huo Li Tian Hui Technology Co., Ltd.",407.3 MB,旅游,iPhone设备需装有iOS9.3或更高版本。iPad设备需装有iPadOS9.3或更高版本。iPod touch设备需装有iOS9.3或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,17+，频繁/强烈的竞赛，赌博,"© 2010 Beijing Aotian Huijin Science and Technology Co., Ltd.",免费机场大屏幕，¥15.00
961159303,"叮当快药-28分钟送药到家,夜间送药",928353316,"Dingdang Medicine Express (Beijing) Technology Co., Ltd.",0,6,0,4.9,29.5万,版本 7.0.0,1.商城首页升级，购物更流畅2.优化“快速续方”等功能，提升使用体验3.搭配购，省更多，花5元得50元4.新用户专享666元优惠大礼包5.叮当健康药品特卖，爆款直降仅需9.9元6.限时拼团，爆款好货享低价7.7x24小时在线问诊，核心区域28分钟送药到家（核心区域定义详见用户注册协议）,Dingdang Medicine Express,114.2 MB,医疗,iPhone设备需装有iOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,12+，偶尔/轻微的医药或医疗信息,© 2017叮当快药科技集团有限公司,免费
1603870869,"NFT AI - 寻找趋势NFT,唯一艺术,数藏世界,区块链",1493114669,Novelti,0,9,0,4.8,"8,301",版本 1.9.11,-bugs fixed,"NOVELTI, OOO",84.8 MB,图形和设计,iPhone设备需装有iOS14.2或更高版本。iPad设备需装有iPadOS14.2或更高版本。iPod touch设备需装有iOS14.2或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 德文， 意大利文， 日文， 法文， 简体中文， 英文， 西班牙文， 韩文,17+，无限制网页访问,免费,"NFT PRO
¥63.00


NFT
¥198.00


NFT PRO
¥388.00


NFT GUIDE
¥148.00


NFT
¥148.00


NFT
¥328.00


NFT
¥298.00


NFT PRO
¥868.00


NFT PRO
¥133.00"
1483899033,光遇乐谱,1483899032,riwei cai,0,6,0,4.8,5.2万,版本 1.5.7,增加循环章节保存云端特性优化头像显示优化完整乐谱音符顺序其他优化,riwei cai,92.4 MB,音乐,iPhone设备需装有iOS12.1或更高版本。iPad设备需装有iPadOS12.1或更高版本。iPod touch设备需装有iOS12.1或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,日文， 简体中文， 繁体中文， 英文， 韩文,4+,免费,"专业版连续包月(￥12)
¥12.00


6根蜡烛
¥8.00


2个爱心
¥8.00


12根蜡烛
¥12.00


4个爱心
¥12.00


8个爱心
¥18.00


18根蜡烛
¥18.00


专业版连续包年(￥118)
¥118.00


10个爱心
¥28.00"
1387094171,粤语翻译神器-学习广东话翻译助手,1413593645,XINGYAN CAO,0,12,0,4.9,3.2万,版本 6.0.1,1、优化文本翻译速度，更稳当准确2、修复已知细节错误，更好使用体验3、优化粤语拼音界面，可分享注音图片等4、新增翻译对照页面，中文和粤语对照查看5、支持收藏记录iCloud云端备份和Excel导出6、拍照翻译支持智能分段，更准确图文是被翻译,XINGYAN CAO,42.8 MB,参考资料,iPhone设备需装有iOS10.0或更高版本。iPad设备需装有iPadOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文， 英文,4+,免费,"年VIP会员
¥68.00


VIP会员
¥128.00


月VIP会员
¥18.00"
370139302,QQ浏览器-搜索新闻小说文件,292374531,Tencent Technology (Shenzhen) Company Limited,0,12,0,4.5,79.3万,版本 14.1.2,1.【摄像头】体验优化2. 修复一些体验问题3. 修复网页打开闪退问题,Tencent Technology (Shenzhen) Company Limited,457.8 MB,工具,iPhone设备需装有iOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。,简体中文,17+，无限制网页访问，频繁/强烈的卡通或幻想暴力，频繁/强烈的色情内容或裸露，频繁/强烈的现实暴力,免费,"10Q米
¥1.00


120Q米
¥12.00


300Q米
¥30.00


60Q米
¥6.00


600Q米
¥60.00


15天腾讯视频VIP
¥6.00


1680Q米
¥168.00


PDF转OFFICE文档1次
¥1.00


7天悦读卡
¥6.00


悦读卡连续包月
¥19.00"
1113153706,Microsoft Teams,298856275,Microsoft Corporation,0,12,0,4.9,16.4万,版本 5.13.0,从搜索结果中选择一条消息，然后直接前往该消息在聊天中的位置,Microsoft Corporation,334.6 MB,商务,iPhone设备需装有iOS15.0或更高版本。iPad设备需装有iPadOS15.0或更高版本。iPod touch设备需装有iOS15.0或更高版本。,丹麦文， 乌克兰文， 俄文， 保加利亚文， 克罗地亚文， 冰岛文， 加泰罗尼亚文， 匈牙利文， 博克马尔文挪威文， 卡纳达文， 印地文， 印度尼西亚文， 古吉拉特文， 土耳其文， 塞尔维亚文， 孟加拉文， 希伯来文， 希腊文， 德文， 意大利文， 拉脱维亚文， 挪威尼诺斯克文， 捷克文， 斯洛伐克文， 斯洛文尼亚文， 日文， 法文， 波兰文， 泰卢固文， 泰文， 泰米尔文， 爱沙尼亚文， 瑞典文， 立陶宛文， 简体中文， 繁体中文， 罗马尼亚文， 芬兰文， 英文， 荷兰文， 菲律宾文， 葡萄牙文， 西班牙文， 越南文， 阿拉伯文， 韩文， 马拉地文， 马拉雅拉姆文,4+,© 2023 Microsoft Corporation. All rights reserved.,免费
919503025,掌上道聚城,292374531,Tencent Technology (Shenzhen) Company Limited,0,12,0,4.5,2.1万,版本 4.6.9,1. 点券红包支持站内分享2. 新增活动说抽奖3. 已知问题修复,Tencent Technology (Shenzhen) Company Limited,474 MB,娱乐,iPhone设备需装有iOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。,英文,17+，赌博，频繁/强烈的竞赛,免费,"CFM道聚城50元礼包
¥50.00


CFM6元特权卡礼包
¥6.00


CFM6元礼包
¥6.00


道聚城穿越火线手游60元礼包
¥60.00


道聚城穿越火线手游328元礼包
¥328.00


黎明觉醒：生机1元礼包
¥1.00


黎明觉醒：生机3元礼包
¥3.00


剑侠情缘50元礼包
¥50.00


黎明觉醒：生机6元礼包
¥6.00


道聚城穿越火线手游1元礼包
¥1.00"
1054941362,e充电-新能源电动汽车出行充电app,1111174733,国网智慧车联网技术有限公司,0,7,0,3.2,"1,450",版本 3.6.700,- 高速站列表新增高速名称筛选，找桩更便捷- 修复已知问题，提升使用体验,"State Grid Smart Internet of Vehicles CO.,LTD.",174.7 MB,生活,iPhone设备需装有iOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。,简体中文,4+,© 国网电动汽车服务有限公司,免费
